length of file array 10000000
BenchmarkVerifyWitness - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/merkleTree
cpu: AMD EPYC 9R14
BenchmarkVerifyWitness/fan-out:_2,_certs:_1000000-32         	    1000	      4801 ns/op	    1920 B/op	      40 allocs/op
BenchmarkVerifyWitness/fan-out:_4,_certs:_1000000-32         	    1000	      4110 ns/op	    2240 B/op	      30 allocs/op
BenchmarkVerifyWitness/fan-out:_8,_certs:_1000000-32         	    1000	      4482 ns/op	    3360 B/op	      28 allocs/op
BenchmarkVerifyWitness/fan-out:_16,_certs:_1000000-32        	    1000	      4978 ns/op	    4960 B/op	      25 allocs/op
BenchmarkVerifyWitness/fan-out:_32,_certs:_1000000-32        	    1000	      7665 ns/op	   13184 B/op	      28 allocs/op
BenchmarkVerifyWitness/fan-out:_64,_certs:_1000000-32        	    1000	     11733 ns/op	   21376 B/op	      32 allocs/op
BenchmarkVerifyWitness/fan-out:_128,_certs:_1000000-32       	    1000	     17329 ns/op	   37536 B/op	      30 allocs/op
BenchmarkVerifyWitness/fan-out:_256,_certs:_1000000-32       	    1000	     34070 ns/op	  102816 B/op	      39 allocs/op
BenchmarkVerifyWitness/fan-out:_512,_certs:_1000000-32       	    1000	     61103 ns/op	  188832 B/op	      45 allocs/op
BenchmarkVerifyWitness/fan-out:_1024,_certs:_1000000-32      	    1000	     81524 ns/op	  308672 B/op	      36 allocs/op
BenchmarkVerifyWitness/fan-out:_2,_certs:_2000000-32         	    1000	      4980 ns/op	    2016 B/op	      42 allocs/op
BenchmarkVerifyWitness/fan-out:_4,_certs:_2000000-32         	    1000	      4281 ns/op	    2464 B/op	      33 allocs/op
BenchmarkVerifyWitness/fan-out:_8,_certs:_2000000-32         	    1000	      4356 ns/op	    3360 B/op	      28 allocs/op
BenchmarkVerifyWitness/fan-out:_16,_certs:_2000000-32        	    1000	      5556 ns/op	    5952 B/op	      30 allocs/op
BenchmarkVerifyWitness/fan-out:_32,_certs:_2000000-32        	    1000	      9178 ns/op	   16480 B/op	      35 allocs/op
