length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0-32         	       1	 345507742 ns/op	240050240 B/op	     309 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#01-32      	       1	 129893186 ns/op	240049552 B/op	     296 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#02-32      	       1	 121402200 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#03-32      	       1	 121998621 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#04-32      	       1	 120138766 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#05-32      	       1	 121754770 ns/op	240048944 B/op	     284 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#06-32      	       1	 102507042 ns/op	240049872 B/op	     304 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#07-32      	       1	 100785937 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#08-32      	       1	 100299864 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#09-32      	       1	  99092790 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#10-32      	       1	 100783925 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#11-32      	       1	 101774279 ns/op	240048944 B/op	     284 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#12-32      	       1	 101311107 ns/op	240048232 B/op	     270 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#13-32      	       1	  99600432 ns/op	240047016 B/op	     246 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#14-32      	       1	 100767645 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#15-32      	       1	 100754616 ns/op	240047624 B/op	     258 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#16-32      	       1	  99399732 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#17-32      	       1	  98918298 ns/op	240044688 B/op	     200 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#18-32      	       1	  99549290 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#19-32      	       1	 100938324 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#20-32      	       1	 100438733 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#21-32      	       1	 100892684 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#22-32      	       1	 101704276 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#23-32      	       1	 101274155 ns/op	240048336 B/op	     272 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#24-32      	       1	 100079022 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#25-32      	       1	  99551461 ns/op	240046408 B/op	     234 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#26-32      	       1	  98873412 ns/op	240045192 B/op	     210 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#27-32      	       1	 100782308 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#28-32      	       1	  99397514 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#29-32      	       1	 100546157 ns/op	240047728 B/op	     260 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#30-32      	       1	  99914905 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#31-32      	       1	  98638781 ns/op	240045296 B/op	     212 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#32-32      	       1	  99592974 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#33-32      	       1	 100016976 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#34-32      	       1	  99579054 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#35-32      	       1	 100202436 ns/op	240047016 B/op	     246 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#36-32      	       1	  99996266 ns/op	240046408 B/op	     234 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#37-32      	       1	 100086026 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#38-32      	       1	  99047283 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#39-32      	       1	  99914136 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#40-32      	       1	  99578034 ns/op	240045904 B/op	     224 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#41-32      	       1	  99793665 ns/op	240047120 B/op	     248 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#42-32      	       1	  99390693 ns/op	240046512 B/op	     236 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_2,_certs:_10000000,_iteration:_0#43-32      	       1	  98898373 ns/op	240047016 B/op	     246 allocs/op
