length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
TestOptimizedSizeOfWitnesses - starting
fan-out:  2 , certificates:  1000000 . Witness/membershipProof size in bytes:  3697
fan-out:  4 , certificates:  1000000 . Witness/membershipProof size in bytes:  1867
fan-out:  8 , certificates:  1000000 . Witness/membershipProof size in bytes:  1318
fan-out:  16 , certificates:  1000000 . Witness/membershipProof size in bytes:  952
fan-out:  32 , certificates:  1000000 . Witness/membershipProof size in bytes:  770
fan-out:  64 , certificates:  1000000 . Witness/membershipProof size in bytes:  770
fan-out:  128 , certificates:  1000000 . Witness/membershipProof size in bytes:  587
fan-out:  256 , certificates:  1000000 . Witness/membershipProof size in bytes:  588
fan-out:  512 , certificates:  1000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  1000000 . Witness/membershipProof size in bytes:  405
fan-out:  2 , certificates:  2000000 . Witness/membershipProof size in bytes:  3880
fan-out:  4 , certificates:  2000000 . Witness/membershipProof size in bytes:  2050
fan-out:  8 , certificates:  2000000 . Witness/membershipProof size in bytes:  1318
fan-out:  16 , certificates:  2000000 . Witness/membershipProof size in bytes:  1135
fan-out:  32 , certificates:  2000000 . Witness/membershipProof size in bytes:  952
fan-out:  64 , certificates:  2000000 . Witness/membershipProof size in bytes:  769
fan-out:  128 , certificates:  2000000 . Witness/membershipProof size in bytes:  586
fan-out:  256 , certificates:  2000000 . Witness/membershipProof size in bytes:  588
fan-out:  512 , certificates:  2000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  2000000 . Witness/membershipProof size in bytes:  588
fan-out:  2 , certificates:  3000000 . Witness/membershipProof size in bytes:  4063
fan-out:  4 , certificates:  3000000 . Witness/membershipProof size in bytes:  2050
fan-out:  8 , certificates:  3000000 . Witness/membershipProof size in bytes:  1501
fan-out:  16 , certificates:  3000000 . Witness/membershipProof size in bytes:  1136
fan-out:  32 , certificates:  3000000 . Witness/membershipProof size in bytes:  953
fan-out:  64 , certificates:  3000000 . Witness/membershipProof size in bytes:  770
fan-out:  128 , certificates:  3000000 . Witness/membershipProof size in bytes:  771
fan-out:  256 , certificates:  3000000 . Witness/membershipProof size in bytes:  588
fan-out:  512 , certificates:  3000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  3000000 . Witness/membershipProof size in bytes:  588
fan-out:  2 , certificates:  4000000 . Witness/membershipProof size in bytes:  4063
fan-out:  4 , certificates:  4000000 . Witness/membershipProof size in bytes:  2050
fan-out:  8 , certificates:  4000000 . Witness/membershipProof size in bytes:  1501
fan-out:  16 , certificates:  4000000 . Witness/membershipProof size in bytes:  1135
fan-out:  32 , certificates:  4000000 . Witness/membershipProof size in bytes:  953
fan-out:  64 , certificates:  4000000 . Witness/membershipProof size in bytes:  770
fan-out:  128 , certificates:  4000000 . Witness/membershipProof size in bytes:  770
fan-out:  256 , certificates:  4000000 . Witness/membershipProof size in bytes:  587
fan-out:  512 , certificates:  4000000 . Witness/membershipProof size in bytes:  588
fan-out:  1024 , certificates:  4000000 . Witness/membershipProof size in bytes:  588
fan-out:  2 , certificates:  5000000 . Witness/membershipProof size in bytes:  4246
fan-out:  4 , certificates:  5000000 . Witness/membershipProof size in bytes:  2233
fan-out:  8 , certificates:  5000000 . Witness/membershipProof size in bytes:  1501
fan-out:  16 , certificates:  5000000 . Witness/membershipProof size in bytes:  1135
